City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
224,yeppoon,-23.1333,150.7333,15.88,79,52,5.27,AU,1690386969
225,nakamura,32.9833,132.9333,24.57,97,24,0.92,JP,1690386969
226,aksaray,38.3726,34.0254,29.82,21,0,2.7,TR,1690386971
227,mount isa,-20.7333,139.5,20.87,64,100,3.6,AU,1690386971
228,la passe,45.5549,-0.8967,24.13,64,34,5.82,FR,1690386971
229,maribo,54.7766,11.5002,19.42,68,28,7.53,DK,1690386971
230,lloydminster,53.2835,-110.0016,16.12,67,75,4.63,CA,1690386972
231,ambovombe,-25.1667,46.0833,18.45,62,3,7.49,MG,1690386973
232,rockland,41.1668,-74.0496,29.77,69,0,0.45,US,1690386974
233,urengoy,65.9667,78.3667,22.0,66,93,2.92,RU,1690386974
234,constantia,44.1833,28.65,29.38,60,19,3.42,RO,1690386975
235,slawkow,50.2994,19.3897,13.89,96,100,3.37,PL,1690386976
236,sengkang,-4.1279,120.0297,21.84,94,10,1.18,ID,1690386976
237,inarajan village,13.2736,144.7484,27.54,94,100,9.45,GU,1690386976
238,williamson,30.6502,-97.6003,34.14,61,0,5.66,US,1690386977
239,palmer,42.1584,-72.3287,28.47,70,4,2.43,US,1690386878
240,gasa,31.5,34.4667,34.93,52,0,5.01,PS,1690386977
241,baki,-7.6128,110.7839,21.43,83,44,5.15,ID,1690386977
242,san isidro,-12.1167,-77.05,21.68,78,100,3.09,PE,1690386977
243,mascote,-15.5631,-39.3025,22.67,93,100,0.73,BR,1690386978
244,yunyang,33.4474,112.7142,26.89,70,96,1.76,CN,1690386978
245,arraial do cabo,-22.9661,-42.0278,24.92,69,75,7.2,BR,1690386978
246,labrador city,52.9463,-66.9114,19.95,52,75,4.12,CA,1690386978
247,luganville,-15.5333,167.1667,22.65,88,100,6.26,VU,1690386979
248,gamba,-2.65,10.0,24.15,78,68,3.79,GA,1690386979
249,ulladulla,-35.35,150.4667,8.83,80,12,1.98,AU,1690386979
250,sainte-anne-des-monts,49.124,-66.4924,19.93,73,80,9.26,CA,1690386980
251,i-n-salah,27.1935,2.4607,46.04,8,6,0.82,DZ,1690386980
252,novyy urgal,51.0736,132.5642,15.72,96,33,0.36,RU,1690386980
253,coxim,-18.5067,-54.76,34.9,17,0,2.32,BR,1690386951
254,revda,56.801,59.9303,16.24,92,97,1.8,RU,1690386981
255,monrovia,6.3005,-10.7969,26.87,84,97,4.62,LR,1690386981
256,koryazhma,61.3143,47.1691,19.25,70,75,2.21,RU,1690386981
257,yeniseysk,58.4497,92.1703,17.58,95,100,1.88,RU,1690386981
258,chiantla,15.3547,-91.4583,20.77,64,0,0.0,GT,1690386981
259,tamanrasset,22.785,5.5228,37.95,7,0,5.14,DZ,1690386982
260,talara,-4.5772,-81.2719,25.42,61,0,7.72,PE,1690386982
261,ambato boeny,-16.4667,46.7167,27.17,41,15,5.24,MG,1690386982
262,udachny,66.4167,112.4,19.14,67,94,2.4,RU,1690386982
263,luderitz,-26.6481,15.1594,14.9,61,0,6.53,NA,1690386982
264,west valley,46.5921,-120.6051,20.64,50,0,2.06,US,1690386983
265,pyhaselka,62.4333,29.9667,22.15,81,93,0.91,FI,1690386983
266,crane,31.3974,-102.3501,31.04,37,34,8.17,US,1690386983
267,vernon,50.2581,-119.2691,18.85,52,7,1.34,CA,1690386988
268,jayapura,-2.5333,140.7,24.66,90,98,3.17,ID,1690386990
269,velez rubio,37.6484,-2.0769,31.75,48,11,6.61,ES,1690386991
270,taltal,-25.4,-70.4833,17.85,70,75,1.96,CL,1690386991
271,zeya,53.75,127.2667,18.37,65,9,1.22,RU,1690386997
272,chadan,51.2833,91.5833,15.89,63,11,2.23,RU,1690386997
273,nuuk,64.1835,-51.7216,5.34,100,75,6.17,GL,1690386997
274,chivhu,-19.0211,30.8922,14.32,59,69,3.7,ZW,1690387002
275,hami,42.8,93.45,32.32,10,0,4.46,CN,1690387002
276,tralee,52.2704,-9.7026,18.14,94,100,8.75,IE,1690387003
277,basoko,1.2391,23.616,26.71,76,100,0.96,CD,1690387003
278,al qusiyah,27.4402,30.8184,41.15,14,4,4.19,EG,1690387003
279,puerto madero,14.7208,-92.4215,29.28,64,41,2.03,MX,1690387003
280,cill airne,52.05,-9.5167,18.03,94,100,8.75,IE,1690387004
281,lalibela,12.0333,39.0333,16.15,82,79,1.46,ET,1690387004
282,inhambane,-23.865,35.3833,21.99,60,40,3.6,MZ,1690387004
283,mercedes,-34.6515,-59.4307,14.8,55,6,6.81,AR,1690386996
284,kirakira,-10.4544,161.9205,26.06,89,100,4.54,SB,1690387004
285,liwa,24.5361,56.5656,32.32,70,98,3.62,OM,1690387005
286,kinablangan,7.6947,126.5503,26.54,83,100,4.08,PH,1690387005
287,wewak,-3.5534,143.6268,26.25,86,59,4.38,PG,1690386877
288,sa'dah,16.9402,43.7639,28.07,30,98,4.2,YE,1690387005
289,maun,-19.9833,23.4167,27.98,23,0,2.06,BW,1690387005
290,rangapara,26.8167,92.65,26.0,92,87,1.28,IN,1690387005
291,mozarlandia,-14.7447,-50.5706,35.03,18,0,3.61,BR,1690387005
292,plastun,44.7561,136.2939,21.93,68,91,2.12,RU,1690387006
293,azangaro,-14.9167,-70.2167,13.88,7,2,1.83,PE,1690387006
294,tarija,-21.5355,-64.7296,15.95,51,0,0.0,BO,1690387006
295,banes,20.9625,-75.7186,30.62,66,94,6.91,CU,1690387006
296,myrina,39.8797,25.0742,30.58,55,0,6.17,GR,1690387006
297,wuhai,39.6647,106.8122,28.77,37,100,1.77,CN,1690387006
298,al qadarif,14.0349,35.3834,30.35,50,88,5.72,SD,1690387007
299,rawson,-43.3002,-65.1023,5.78,56,60,6.27,AR,1690387007
300,kolonia town,6.964,158.206,27.2,84,100,6.92,FM,1690387007
301,bafq,31.6128,55.4107,37.68,8,1,5.64,IR,1690387007
302,khilok,51.3674,110.4676,13.83,96,99,1.62,RU,1690387007
303,goundi,9.3627,17.366,24.87,80,100,1.58,TD,1690387007
304,loreto,22.2667,-101.9667,17.91,66,100,1.68,MX,1690387007
305,ndioum,16.5129,-14.6471,31.94,44,100,2.86,SN,1690387008
306,bandarbeyla,9.4942,50.8122,24.11,82,9,14.73,SO,1690387008
307,newport,51.5877,-2.9984,17.47,92,100,6.81,GB,1690387008
308,port saint john's,-31.6229,29.5448,19.7,62,0,3.78,ZA,1690387008
309,sisimiut,66.9395,-53.6735,8.66,75,26,4.86,GL,1690387008
310,puerto deseado,-47.7503,-65.8938,2.97,72,7,7.87,AR,1690387008
311,dunedin,-45.8742,170.5036,7.11,72,65,4.47,NZ,1690387010
312,vorgashor,67.5833,63.95,16.42,80,99,3.84,RU,1690387010
313,baiti,13.745,-14.7482,34.09,50,98,2.77,SN,1690387010
314,san antonio de pale,-1.4014,5.6325,23.32,88,95,4.83,GQ,1690387010
315,kanniyakumari,8.0833,77.5667,26.46,78,100,8.1,IN,1690387010
316,mareeba,-17.0,145.4333,18.58,90,78,2.81,AU,1690387010
317,maslyanino,54.3436,84.2111,18.4,60,52,0.44,RU,1690387011
318,college,64.8569,-147.8028,19.39,84,75,2.06,US,1690387011
319,leava,-14.3,-178.1667,26.06,76,96,6.76,WF,1690387011
320,harrison,30.4091,-89.0436,32.25,57,0,2.06,US,1690386948
321,saudarkrokur,65.7461,-19.6394,11.74,73,24,3.32,IS,1690387011
322,mansehra,34.3333,73.2,24.11,79,34,1.01,PK,1690387012
323,weno,7.4515,151.8468,27.97,89,100,0.0,FM,1690387012
324,menaka,15.9182,2.4022,40.45,21,16,3.44,ML,1690387012
325,bel ombre,-4.6167,55.4167,25.91,83,40,5.66,SC,1690387012
326,pemangkat,1.1667,108.9667,26.96,78,100,5.38,ID,1690387012
327,murghob,38.1702,73.9667,15.79,42,48,2.84,TJ,1690387013
328,tulun,54.5611,100.5792,14.23,93,25,1.5,RU,1690387013
329,thayetmyo,19.3167,95.1833,26.59,75,6,1.42,MM,1690387013
330,lionel town,17.8101,-77.2406,30.94,50,100,1.73,JM,1690387013
331,kismayo,-0.3582,42.5454,24.71,81,48,6.8,SO,1690387013
332,dampit,-8.2116,112.7493,18.45,95,70,1.98,ID,1690387013
333,garoowe,8.4054,48.4845,30.05,36,33,8.54,SO,1690387014
334,abatskoye,56.2875,70.4555,20.33,62,86,2.71,RU,1690387014
335,batesburg-leesville,33.9101,-81.5373,33.02,62,96,2.33,US,1690387014
336,gadzhiyevo,69.2551,33.3362,11.09,90,98,2.17,RU,1690387014
